Name,id,Typ,Geschlecht,Bezug zu Fußball,Rang
Thomas Hitzlsperger,TH,1,1,1,4
Tobias Keller,TK,1,1,3,3
Oliver Schraft,OS,1,1,3,1
Claus Vogt,CV,1,1,3,4
Wilfried Porth,WP,1,1,3,2
Rainer Adrion,RA,1,1,2,1
Hartmut Jenner,HJ,1,1,3,1
Franz Reiner,FR,1,1,3,1
Bertram Sugg,BS,1,1,3,1
VfB Stuttgart 1893 AG,VFBAG,2,NA,4,NA
VfB Stuttgart 1893 e.v.,VFBEV,2,NA,4,NA
Nachwuchsleistungszentrum des VFB,NLZVFB,2,NA,4,NA
Deutsche Fußball Liga e.v.,DFL,2,NA,4,NA
Robert Bosch GmbH,RBG,2,NA,5,NA
FC PlayFair! Verein für Integrität im Profifußball e.V.,FPF,2,NA,4,NA
Daimler AG,DAG,2,NA,5,NA
Daimler-Benz AG,DBAG,2,NA,5,NA
Alfred Kärcher SE & Co. KG,AK,2,NA,5,NA
Mercedes-Benz Bank,MBB,2,NA,5,NA
Mercedes-Benz Bank AG,MBBAG,2,NA,5,NA
Daimler Financial Services AG,DFSAG,2,NA,5,NA
Daimler Mobility AG,DMAG,2,NA,5,NA
Daimler,D,2,NA,5,NA
Fanclub Courage Gerlingen,FCG,2,NA,4,NA
